Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Остатки,,,,,,,,,,,,
,,отчет создан:,2026-06-27 12:08:47.143000,,,,,,,,,,
,,исполнитель:,Валерия  (admin@gorokhovavaleriia ),,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,склад:,Основной склад,,,,,,,,,,
,,доступно:,Любое,,,,,,,,,,
,,,,,,,,,,,,,
,Код,Артикул,Наименование,Ед.изм.,Доступно,Резерв,Ожидание,Остаток,Себестоимость,"Сумма
себестоимости",Цена продажи,Сумма продажи,Дней на складе
,Лера,,,,,,,,,,,,
,634592785,,мини сейф черный пластик,шт,44,2,40,6,504.79,3028.74,2000,12000,44.5
,145876669_7567328745,,воздуходувка,шт,15,0,15,0,0,0,15492,0,0
,141896932_4738938473,,держатели воды в машину,шт,23,2,0,25,275.12,6878,1500,37500,44.56
,151203980_65747823748,,оптический экран для рисования маленький,шт,40,0,0,40,517.21,20688.4,1150,46000,44.47
,128665341_231213123,,3D ручка синяя,шт,44,3,40,7,1983.78,13886.46,2899,20293,56.67
,129920263_312123123,,черная наклейка hyunday,шт,14,0,0,14,721.28,10097.92,1300,18200,69.76
,118072439_7987908,,набор мерных ложек,шт,22,2,0,24,2362.28,56694.72,4096,98304,44.56
,110561330_9634579325,,углорез,шт,0,0,0,0,0,0,500,0,0
,138827211_90423908234,,Разделочная доска 46*30,шт,0,0,0,0,0,0,2500,0,0
,118803794_57482993467,,Разделочная доска 29*20,шт,0,1,0,1,995.17,995.17,1500,1500,12.54
